#SYMBOL;#TYPE;#NOTUSED;#NOTUSED;#COMMENT
#READ;;;;
HEADER.WT_Daten_Fixed.WT_Nummer;INT;0;0;WT Nummer
HEADER.WT_Daten_Fixed.WT_Leergewicht;DINT;L#0;L#0;WT Leergewicht Res_100kg_10kg_1kg_100g_10g_Res_Res
HEADER.WT_Daten_Fixed.Umlaufzaehler;INT;0;0;Umlaufzähler
HEADER.WT_Daten_Fixed.Customer_Barcode;STRING [ 30 ];'
HEADER.WT_Daten_Fixed.Getrag_System_Number;STRING [ 14 ];'
HEADER.WT_Daten_Fixed.Kunden_Getriebetyp;STRING [ 32 ];'
HEADER.WT_Daten_Fixed.Getrag_Getriebetyp;STRING [ 4 ];'
HEADER.WT_Daten_Fixed.Software_Version;STRING [ 4 ];'
HEADER.WT_Daten_Fixed.Res_92_93[1];BYTE;B#16#0;B#16#0;
HEADER.WT_Daten_Fixed.Res_92_93[2];BYTE;B#16#0;B#16#0;
HEADER.WT_Daten_Fixed.Zeitstempel_Y_Y;BYTE;B#16#0;B#16#0;
HEADER.WT_Daten_Fixed.Zeitstempel_M_M;BYTE;B#16#0;B#16#0;
HEADER.WT_Daten_Fixed.Zeitstempel_D_D;BYTE;B#16#0;B#16#0;
HEADER.WT_Daten_Fixed.Zeitstempel_H_H;BYTE;B#16#0;B#16#0;
HEADER.WT_Daten_Fixed.Zeitstempel_Min_Min;BYTE;B#16#0;B#16#0;
HEADER.WT_Daten_Fixed.Zeitstempel_S_S;BYTE;B#16#0;B#16#0;
HEADER.WT_Daten.Quellstation;INT;0;0;
HEADER.WT_Daten.Zielstation;INT;0;0;
HEADER.WT_Daten.Aktuellstation;INT;0;0;
HEADER.WT_Daten.NOK_Station;INT;0;0;
HEADER.WT_Daten.Res_108_119[1];BYTE;B#16#0;B#16#0;
HEADER.WT_Daten.Res_108_119[2];BYTE;B#16#0;B#16#0;
HEADER.WT_Daten.Res_108_119[3];BYTE;B#16#0;B#16#0;
HEADER.WT_Daten.Res_108_119[4];BYTE;B#16#0;B#16#0;
HEADER.WT_Daten.Res_108_119[5];BYTE;B#16#0;B#16#0;
HEADER.WT_Daten.Res_108_119[6];BYTE;B#16#0;B#16#0;
HEADER.WT_Daten.Res_108_119[7];BYTE;B#16#0;B#16#0;
HEADER.WT_Daten.Res_108_119[8];BYTE;B#16#0;B#16#0;
HEADER.WT_Daten.Res_108_119[9];BYTE;B#16#0;B#16#0;
HEADER.WT_Daten.Res_108_119[10];BYTE;B#16#0;B#16#0;
HEADER.WT_Daten.Res_108_119[11];BYTE;B#16#0;B#16#0;
HEADER.WT_Daten.Res_108_119[12];BYTE;B#16#0;B#16#0;
HEADER.Teil_Aktuell_Daten.Getriebegewicht;DINT;L#0;L#0;Getriebegewicht in g Leergewicht OP30 oder Datenbank
HEADER.Teil_Aktuell_Daten.Restoelmenge;DINT;L#0;L#0;OP30
HEADER.Teil_Aktuell_Daten.OP10_Steuerwort;DWORD;DW#16#0;DW#16#0;
HEADER.Teil_Aktuell_Daten.OPXX1_Steuerwort;DWORD;DW#16#0;DW#16#0;
HEADER.Teil_Aktuell_Daten.OP15_Steuerwort;DWORD;DW#16#0;DW#16#0;
HEADER.Teil_Aktuell_Daten.OP20_Steuerwort;DWORD;DW#16#0;DW#16#0;
HEADER.Teil_Aktuell_Daten.OP30_Steuerwort;DWORD;DW#16#0;DW#16#0;
HEADER.Teil_Aktuell_Daten.OP40_Steuerwort;DWORD;DW#16#0;DW#16#0;
HEADER.Teil_Aktuell_Daten.OPXX2_Steuerwort;DWORD;DW#16#0;DW#16#0;
HEADER.Teil_Aktuell_Daten.OP60_Steuerwort_Light;DWORD;DW#16#0;DW#16#0;für alle OP60 Light
HEADER.Teil_Aktuell_Daten.OP60_Steuerwort_Main;DWORD;DW#16#0;DW#16#0;für alle OP60 Main
HEADER.Teil_Aktuell_Daten.OP70_Steuerwort;DWORD;DW#16#0;DW#16#0;für alle OP70
HEADER.Teil_Aktuell_Daten.OP80_Steuerwort;DWORD;DW#16#0;DW#16#0;für alle OP80
